ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,DNI
1,4.7kΩ,"R1,R2",0603_RESISTOR_HAND_SOLDER_W_AXIAL,2,0603WAF4701T5E,UniOhm,LCSC,C23162,
2,BME280_HDR,H1,HEADER_2.54MM_1X4P,1,,,,,DNI
3,Meadow F7 Micro Dev Board,U2,MEADOWF7MICRO_HEADERS_ONLY,1,MEDF7DEV,Wilderness Labs,Mouser,977-MEADOWF7MICRO,DNI
4,2.54mm Screw,T1,MPT0.5/2-2.54,1,"MPT 0,5/ 2-2,54 1725656",Phoenix Contact,TME,MPT0.5/2-2.54,
5,SI7021-A20-GM1R,U1,DFN-6_L3.0-W3.0-P0.95-BL-EP,1,SI7021-A20-GM1R,SILICON LABS,LCSC,C132603,
6,0.1µf,C1,C0603,1,CC0603KRX7R7BB104,YAGEO,LCSC,C108079,
